Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Hudson,,,,,,,,,,,,,,,15.0,3.0,,,5.0,1.0,,,,,5.0,1.0,,,26.0,5.0,,,,,,,,
Hull,,,9.0,1.0,,,9.0,1.0,19.0,2.0,9.0,1.0,,,19.0,2.0,19.0,2.0,,,9.0,1.0,,,,,,,9.0,1.0,9.0,1.0,9.0,1.0,,,,
Hyannis,,,7.0,1.0,7.0,1.0,21.0,3.0,42.0,6.0,14.0,2.0,7.0,1.0,21.0,3.0,14.0,2.0,21.0,3.0,7.0,1.0,7.0,1.0,42.0,6.0,7.0,1.0,,,21.0,3.0,7.0,1.0,14.0,2.0,14.0,2.0
Hyde Park,,,,,2.0,1.0,17.0,6.0,17.0,6.0,,,11.0,4.0,8.0,3.0,26.0,9.0,17.0,6.0,5.0,2.0,5.0,2.0,,,8.0,3.0,2.0,1.0,2.0,1.0,,,11.0,4.0,,
Indian Orchard,,,,,,,9.0,1.0,19.0,2.0,,,19.0,2.0,9.0,1.0,29.0,3.0,9.0,1.0,,,,,,,,,,,,,,,,,,
Ipswich,,,,,,,,,7.0,1.0,,,7.0,1.0,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,
Jamaica Plain,,,,,,,5.0,2.0,,,,,2.0,1.0,10.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,21.0,8.0,,,,,,,2.0,1.0,5.0,2.0,8.0,3.0,2.0,1.0
Jefferson,,,,,,,,,28.0,1.0,,,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,,,,,,,,,,,7.0,1.0,,,7.0,1.0,23.0,3.0,7.0,1.0,,,7.0,1.0,,,,,7.0,1.0,,,,,7.0,1.0,,
Lakeville,,,,,,,,,,,,,,,,,9.0,1.0,9.0,1.0,9.0,1.0,47.0,5.0,,,28.0,3.0,,,9.0,1.0,9.0,1.0,,,,
Lancaster,,,,,,,12.0,1.0,,,,,,,,,12.0,1.0,,,,,12.0,1.0,,,,,,,,,,,,,,
Lanesborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1.0,,,,
Lawrence,3.0,3.0,2.0,2.0,5.0,4.0,41.0,32.0,39.0,30.0,,,2.0,2.0,6.0,5.0,13.0,10.0,1.0,1.0,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,,
Lee,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,,,,,,,,,,,
Leicester,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,9.0,1.0,,,,,,,,,,,,
Lenox,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,,,,,,,,,
Leominster,,,2.0,1.0,,,7.0,3.0,17.0,7.0,14.0,6.0,9.0,4.0,34.0,14.0,24.0,10.0,2.0,1.0,2.0,1.0,4.0,2.0,19.0,8.0,7.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,,,14.0,6.0
Lexington,,,3.0,1.0,,,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
